order_date,year,mm,week_day,register_pre_1d,register_pre_2d,register_pre_3d,register_pre_4d,register_pre_5d,register_pre_6d,register_pre_7d,active_cnt_1d,active_cnt_2d,active_cnt_3d,active_cnt_4d,active_cnt_5d,active_cnt_6d,active_cnt_7d,orders_cnt,orders_amt,if_holiday
20160103,2016,1,0,35616,31888,26059,23955,22402,22784,21932,22611,20918,19577,17405,16712,16159,17214,2969,1210844.7,0
20160104,2016,1,1,34077,35616,31888,26059,23955,22402,22784,21666,22611,20918,19577,17405,16712,16159,1871,1644442.78,0
20160105,2016,1,2,29381,34077,35616,31888,26059,23955,22402,19045,21666,22611,20918,19577,17405,16712,2000,1876581.37,0
20160106,2016,1,3,24439,29381,34077,35616,31888,26059,23955,17881,19045,21666,22611,20918,19577,17405,2284,2027815.29,0
20160107,2016,1,4,24287,24439,29381,34077,35616,31888,26059,17760,17881,19045,21666,22611,20918,19577,2593,2209388.51,0
20160108,2016,1,5,25280,24287,24439,29381,34077,35616,31888,19019,17760,17881,19045,21666,22611,20918,3344,2302330.32,0
20160111,2016,1,1,25668,26936,27464,25280,24287,24439,29381,18380,19205,19374,19019,17760,17881,19045,2482,2278014.61,0
20160112,2016,1,2,23193,25668,26936,27464,25280,24287,24439,17257,18380,19205,19374,19019,17760,17881,2570,2091816.53,0
20160113,2016,1,3,22767,23193,25668,26936,27464,25280,24287,17285,17257,18380,19205,19374,19019,17760,2539,2132532.03,0
20160114,2016,1,4,22057,22767,23193,25668,26936,27464,25280,17484,17285,17257,18380,19205,19374,19019,2829,2536693.91,0
20160115,2016,1,5,22440,22057,22767,23193,25668,26936,27464,17961,17484,17285,17257,18380,19205,19374,3534,2421346.68,0
20160117,2016,1,0,22599,22363,22440,22057,22767,23193,25668,17624,17632,17961,17484,17285,17257,18380,3014,1715401.53,0
20160118,2016,1,1,22325,22599,22363,22440,22057,22767,23193,16830,17624,17632,17961,17484,17285,17257,3370,2506711.99,0
20160130,2016,1,6,24095,22325,21976,21126,21385,19516,22833,17025,16382,15391,15100,15090,15909,16408,4847,1925152.71,0
20160131,2016,1,0,25494,24095,22325,21976,21126,21385,19516,17604,17025,16382,15391,15100,15090,15909,3693,1746353.96,0
20160204,2016,2,4,33644,31511,30085,28403,25494,24095,22325,23597,22974,20962,19782,17604,17025,16382,5812,3647366.91,0
20160205,2016,2,5,40361,33644,31511,30085,28403,25494,24095,24655,23597,22974,20962,19782,17604,17025,6030,3649426.71,0
20160207,2016,2,5,50641,49777,40361,33644,31511,30085,28403,29257,26261,24655,23597,22974,20962,19782,5489,2650225.35,1
20160209,2016,2,5,44647,46143,50641,49777,40361,33644,31511,27050,29403,29257,26261,24655,23597,22974,17338,7661599.88,1
20160210,2016,2,5,56458,44647,46143,50641,49777,40361,33644,29597,27050,29403,29257,26261,24655,23597,17656,8133056.36,1
20160227,2016,2,6,22087,20785,21518,22789,25438,28064,29925,15920,16125,16504,16605,17863,19224,20781,7366,2378718.67,0
20160310,2016,3,4,26860,29721,34269,35868,35105,34417,35440,18170,19759,20397,21585,22974,24343,23979,2660,1810443.45,0
20160316,2016,3,3,24319,25257,28181,25984,27056,24686,26860,18354,18617,18080,18089,17225,18025,18170,2787,2340305.6,0
20160319,2016,3,6,18451,18593,20876,24319,25257,28181,25984,15488,16491,18320,18354,18617,18080,18089,6063,2280615.01,0
20160321,2016,3,1,18565,19064,18451,18593,20876,24319,25257,15411,15341,15488,16491,18320,18354,18617,2571,3241005.68,0
20160415,2016,4,5,31063,33345,37331,41389,44907,48163,45438,25549,26074,26463,28076,27387,26397,23513,5027,3506625.5,0
20160516,2016,5,1,30694,30903,24690,23858,22320,25750,27536,32285,32554,34106,32565,31983,27058,27891,4428,3291372.62,0
20160702,2016,7,6,35417,56000,60418,57755,51123,42700,37771,48237,72889,75869,73767,67255,59435,54771,11251,5766546.15,0
20160717,2016,7,0,77924,60798,58738,57458,62777,67517,70272,108900,87540,83819,80209,85461,89077,91914,16573,7365921.14,0
20160720,2016,7,3,77312,90269,85962,77924,60798,58738,57458,107165,118906,114907,108900,87540,83819,80209,11535,9693925.08,0
20160728,2016,7,4,203777,176584,96125,115791,94784,81809,70071,252147,214751,126431,153642,133065,119042,104299,15062,10654484.66,0
20160913,2016,9,5,35706,38308,40406,37672,36244,34106,38340,173401,129367,228891,216689,202915,76752,78040,6668,5309053.91,1
20160916,2016,9,5,39562,34185,34285,35706,38308,40406,37672,220589,170004,166583,173401,129367,228891,216689,13549,3880484.65,1
20160925,2016,9,0,28822,26599,27355,29978,27429,29680,35011,79341,77318,71159,68248,81269,94795,121148,6359,2710128.54,0
20160926,2016,9,1,33674,28822,26599,27355,29978,27429,29680,80486,79341,77318,71159,68248,81269,94795,5186,6635515.16,0
20161002,2016,10,5,63775,49596,42165,40480,37178,36676,33674,108090,92194,93818,150019,147313,137817,80486,37792,12213655.43,1
20161003,2016,10,5,92220,63775,49596,42165,40480,37178,36676,140126,108090,92194,93818,150019,147313,137817,40639,12506184.09,1
20161018,2016,10,2,27594,30787,31244,30201,30133,31705,34394,49126,53207,74805,85996,99199,117277,131161,4074,2936341.47,0
20161021,2016,10,5,22478,22509,23935,27594,30787,31244,30201,47730,46858,45676,49126,53207,74805,85996,4423,3552775.2,0
20161029,2016,10,6,26902,26617,25104,22095,23029,23342,23219,45191,44669,44016,43565,46732,49048,51016,8163,2646522.46,0
20161124,2016,11,4,11232,11944,13516,15331,15576,15024,15009,35016,36431,34950,36896,36912,37262,35899,2759,3121552.76,0
20161129,2016,11,2,12336,12930,12684,12441,11626,11232,11944,35763,38604,38715,36384,33993,35016,36431,2289,2204286,0
20170101,2017,1,5,29275,24867,23802,22746,22996,23982,25854,54005,47124,44532,40290,36903,35387,36954,10156,4386193.23,1
20170105,2017,1,4,18796,23565,29787,31790,29275,24867,23802,40886,47136,56230,59116,54005,47124,44532,3069,3867815.13,0
20170108,2017,1,0,19046,18594,18727,18796,23565,29787,31790,42660,40827,41139,40886,47136,56230,59116,3863,2414378.87,0
20170118,2017,1,3,24903,24768,23158,29876,30209,33475,37532,48016,47696,51136,59395,63224,60270,63533,5827,5342978.1,0
20170123,2017,1,1,25544,24859,26250,27672,32968,24903,24768,63961,62529,64075,62658,64038,48016,47696,9283,7037170.45,0
20170126,2017,1,5,31270,27726,26085,25544,24859,26250,27672,69426,66255,64033,63961,62529,64075,62658,9700,6116092.27,1
20170130,2017,1,5,52161,39357,33160,33601,31270,27726,26085,92007,74701,64844,69530,69426,66255,64033,33533,13447185.7,1
20170218,2017,2,6,20290,19118,18225,19532,23576,27539,29869,38401,36771,35650,37203,41934,49196,54693,10174,3447951.92,0
20170307,2017,3,2,23873,25406,25766,17291,18940,17862,27620,39392,45350,47502,36365,40718,42252,63903,4881,3231399.89,0
